No.,Material Code,Nozzle Diameter,Print Speed,Nozzle Temperature,Stress Level,Fatigue Lifetime
67,PLA-0.4-5-180,0.4,5,180,10,3000
68,PLA-0.4-5-180,0.4,5,180,10,10200
69,PLA-0.4-5-180,0.4,5,180,12.5,6000
70,PLA-0.4-5-180,0.4,5,180,15,3100
71,PLA-0.4-5-210,0.4,5,210,2.5,86700
72,PLA-0.4-5-210,0.4,5,210,5,75000
73,PLA-0.4-5-210,0.4,5,210,5,24000
74,PLA-0.4-5-210,0.4,5,210,7.5,2200
75,PLA-0.4-5-210,0.4,5,210,7.5,4000
76,PLA-0.4-5-210,0.4,5,210,10,1600
77,PLA-0.4-5-240,0.4,5,240,2.5,500
78,PLA-0.4-5-240,0.4,5,240,2.5,2200
79,PLA-0.4-5-240,0.4,5,240,5,2200
80,PLA-0.4-5-240,0.4,5,240,5,2700
81,PLA-0.4-5-240,0.4,5,240,7.5,1800
82,PLA-0.4-5-240,0.4,5,240,7.5,1700
83,PLA-0.4-10-180,0.4,10,180,5,108000
84,PLA-0.4-10-180,0.4,10,180,7.5,28600
85,PLA-0.4-10-180,0.4,10,180,7.5,34400
86,PLA-0.4-10-180,0.4,10,180,10,4500
87,PLA-0.4-10-180,0.4,10,180,10,10000
88,PLA-0.4-10-180,0.4,10,180,12.5,12800
89,PLA-0.4-10-210,0.4,10,210,5,13100
90,PLA-0.4-10-210,0.4,10,210,5,12700
91,PLA-0.4-10-210,0.4,10,210,5,18000
92,PLA-0.4-10-210,0.4,10,210,7.5,24000
93,PLA-0.4-10-210,0.4,10,210,10,4200
94,PLA-0.4-10-210,0.4,10,210,12.5,3400
95,PLA-0.4-10-240,0.4,10,240,2.5,39500
96,PLA-0.4-10-240,0.4,10,240,5,10000
97,PLA-0.4-10-240,0.4,10,240,5,2000
98,PLA-0.4-10-240,0.4,10,240,5,35000
99,PLA-0.4-10-240,0.4,10,240,7.5,4000
100,PLA-0.4-10-240,0.4,10,240,10,2000
101,PLA-0.4-15-180,0.4,15,180,5,270900
102,PLA-0.4-15-180,0.4,15,180,7.5,27400
103,PLA-0.4-15-180,0.4,15,180,10,4600
104,PLA-0.4-15-180,0.4,15,180,10,13000
105,PLA-0.4-15-180,0.4,15,180,12.5,5200
106,PLA-0.4-15-180,0.4,15,180,15,2300
107,PLA-0.4-15-210,0.4,15,210,5,48700
108,PLA-0.4-15-210,0.4,15,210,7.5,21600
109,PLA-0.4-15-210,0.4,15,210,10,5300
110,PLA-0.4-15-210,0.4,15,210,10,5000
111,PLA-0.4-15-210,0.4,15,210,12.5,7000
112,PLA-0.4-15-210,0.4,15,210,15,2000
113,PLA-0.4-15-240,0.4,15,240,2.5,7000
114,PLA-0.4-15-240,0.4,15,240,2.5,21000
115,PLA-0.4-15-240,0.4,15,240,5,24000
116,PLA-0.4-15-240,0.4,15,240,7.5,7300
117,PLA-0.4-15-240,0.4,15,240,10,4300
118,PLA-0.4-15-240,0.4,15,240,12.5,1500
119,PLA-0.6-5-180,0.6,5,180,5,141900
120,PLA-0.6-5-180,0.6,5,180,7.5,21000
121,PLA-0.6-5-180,0.6,5,180,7.5,6000
122,PLA-0.6-5-180,0.6,5,180,7.5,1000
123,PLA-0.6-5-180,0.6,5,180,10,8400
124,PLA-0.6-5-180,0.6,5,180,12.5,5500
125,PLA-0.6-5-180,0.6,5,180,15,2500
126,PLA-0.6-5-210,0.6,5,210,2.5,12000
127,PLA-0.6-5-210,0.6,5,210,2.5,108000
128,PLA-0.6-5-210,0.6,5,210,5,27000
129,PLA-0.6-5-210,0.6,5,210,7.5,5700
130,PLA-0.6-5-210,0.6,5,210,10,1200
131,PLA-0.6-5-210,0.6,5,240,10,4000
132,PLA-0.6-5-240,0.6,5,240,2.5,26000
133,PLA-0.6-5-240,0.6,5,240,5,11500
134,PLA-0.6-5-240,0.6,5,240,5,4700
135,PLA-0.6-5-240,0.6,5,240,7.5,1600
136,PLA-0.6-5-240,0.6,5,240,7.5,2800
137,PLA-0.6-5-240,0.6,5,240,10,2600
138,PLA-0.6-10-180,0.6,10,180,5,72000
139,PLA-0.6-10-180,0.6,10,180,7.5,16500
140,PLA-0.6-10-180,0.6,10,180,7.5,27900
141,PLA-0.6-10-180,0.6,10,180,10,17400
142,PLA-0.6-10-180,0.6,10,180,12.5,10100
143,PLA-0.6-10-180,0.6,10,180,15,6000
144,PLA-0.6-10-210,0.6,10,210,5,57000
145,PLA-0.6-10-210,0.6,10,210,7.5,40700
146,PLA-0.6-10-210,0.6,10,210,10,6000
147,PLA-0.6-10-210,0.6,10,210,10,5500
148,PLA-0.6-10-210,0.6,10,210,12.5,4200
149,PLA-0.6-10-210,0.6,10,210,15,4000
150,PLA-0.6-10-240,0.6,10,240,5,13600
151,PLA-0.6-10-240,0.6,10,240,5,34100
152,PLA-0.6-10-240,0.6,10,240,7.5,10000
153,PLA-0.6-10-240,0.6,10,240,10,3900
154,PLA-0.6-10-240,0.6,10,240,10,4200
155,PLA-0.6-10-240,0.6,10,240,12.5,2000
156,PLA-0.6-15-180,0.6,15,180,5,39600
157,PLA-0.6-15-180,0.6,15,180,5,40800
158,PLA-0.6-15-180,0.6,15,180,7.5,10000
159,PLA-0.6-15-180,0.6,15,180,7.5,22000
160,PLA-0.6-15-180,0.6,15,180,10,10000
161,PLA-0.6-15-180,0.6,15,180,10,3000
162,PLA-0.6-15-180,0.6,15,180,12.5,2400
163,PLA-0.6-15-210,0.6,15,210,5,27400
164,PLA-0.6-15-210,0.6,15,210,5,34000
165,PLA-0.6-15-210,0.6,15,210,7.5,16800
166,PLA-0.6-15-210,0.6,15,210,10,12000
167,PLA-0.6-15-210,0.6,15,210,12.5,6700
168,PLA-0.6-15-210,0.6,15,210,15,6400
169,PLA-0.6-15-210,0.6,15,210,17.5,3200
170,PLA-0.6-15-240,0.6,15,240,5,18000
171,PLA-0.6-15-240,0.6,15,240,7.5,7400
172,PLA-0.6-15-240,0.6,15,240,7.5,5000
173,PLA-0.6-15-240,0.6,15,240,10,2700
174,PLA-0.6-15-240,0.6,15,240,10,5200
175,PLA-0.6-15-240,0.6,15,240,12.5,4500
